Date,Power Station,Monitored Cap.(MW),Total Cap. Under Maintenace (MW),Planned Maintanence (MW),Forced Maintanence(MW),Other Reasons (MW),Programme (MW),Actual (MW),Excess(+) / Shortfall (-) (MW),Deviation (MW)
01-09-2017,Delhi,2235.4,135,0,135,0,13.29,18.29,5,37.62
01-09-2017,STPL,1350,1350,0,1350,0,0,0,0,0
01-09-2017,SPPL,150,150,0,150,0,0,0,0,0
01-09-2017,SPL,3960,0,0,0,0,92.13,96.16,4.03,4.37
01-09-2017,SKS,600,300,0,300,0,6.84,7.18,0.34,4.97
01-09-2017,SCPL,100,0,0,0,0,1.81,2.28,0.47,25.97
01-09-2017,RKMPPL,1440,720,0,720,0,9.59,16.5,6.91,72.05
01-09-2017,RGPPL,1967.08,1303.54,0,0,1303.54,6.98,10.35,3.37,48.28
01-09-2017,SVPPL,63,63,0,63,0,0,0,0,0
01-09-2017,RELIANCE,48,48,0,0,48,0,0,0,0
01-09-2017,RATTANINDIA,1350,0,0,0,0,13.05,26.35,13.3,101.92
01-09-2017,PGPL,388,388,0,0,388,0,0,0,0
01-09-2017,NTPC Ltd.,19813.59,4135.59,0,4135.59,0,294.84,326.67,31.83,10.8
01-09-2017,NSPCL,500,0,0,0,0,10.04,7.89,-2.15,-21.41
01-09-2017,NPCIL,1840,1080,540,540,0,35,18.3,-16.7,-47.71
01-09-2017,NHDC,1520,315,315,0,0,6.35,14.17,7.82,123.15
01-09-2017,MCCPL,300,0,0,0,0,5.74,7.04,1.3,22.65
01-09-2017,REGL,600,0,0,0,0,6.68,13.92,7.24,108.38
01-09-2017,MBPMPL,1200,1200,0,1200,0,19.16,0,-19.16,-100
01-09-2017,TATA MAH.,447,49,0,49,0,4.2,4.47,0.27,6.43
01-09-2017,TOR. POW. (SUGEN),1147.5,0,0,0,0,15.59,17.48,1.89,12.12
01-09-2017,BSES  AP,220,220,0,0,220,0,0,0,0
01-09-2017,BELLARY,25.2,0,0,0,0,0,0,0,0
01-09-2017,APGPCL,272,33,0,0,33,2.35,3.88,1.53,65.11
01-09-2017,ABAN POWR,119.8,0,0,0,0,1.48,0.82,-0.66,-44.59
01-09-2017,Telangana,7378.1,1791.6,0,150,1641.6,101.23,91.02,-10.21,-10.09
01-09-2017,Tamil Nadu,7012.28,2508.5,427,1730,351.5,92.29,63.06,-29.23,-31.67
01-09-2017,Puducherry,32.5,0,0,0,0,0.65,0.73,0.08,12.31
01-09-2017,TATA PCL,930,0,0,0,0,15.71,20.54,4.83,30.74
01-09-2017,Kerala,2016.46,367,255,76,36,22.44,17.7,-4.74,-21.12
01-09-2017,Andhra Pradesh,6855.4,2555.6,0,2450,105.6,95.64,44.72,-50.92,-53.24
01-09-2017,WPCL,2340,405,0,405,0,31.23,36.61,5.38,17.23
01-09-2017,VVL,135,135,0,135,0,0,0,0,0
01-09-2017,VIP,600,600,0,600,0,0,0,0,0
01-09-2017,VESPL,35,35,0,35,0,0,0,0,0
01-09-2017,TRNE,600,300,0,300,0,8.23,6.93,-1.3,-15.8
01-09-2017,TOR. POW. (UNOSUGEN),1944.5,1320,0,120,1200,12.75,11.95,-0.8,-6.27
01-09-2017,Karnataka,8664.2,2631.8,50,1449.8,1132,94.86,87.53,-7.33,-7.73
01-09-2017,LVTPL,0,0,0,0,0,0,0,0,0
01-09-2017,LANCO,600,0,0,0,0,13.16,12.81,-0.35,-2.66
01-09-2017,JSWEL,1200,300,0,300,0,23,20.03,-2.97,-12.91
01-09-2017,ACPL,0,0,0,0,0,0,0,0,0
01-09-2017,ACB,325,325,0,325,0,5.48,0,-5.48,-100
01-09-2017,Maharashtra,12988,3266,250,2698,318,181.72,170.37,-11.35,-6.25
01-09-2017,Madhya Pradesh,6115,3465,675,2520,270,68.89,46.36,-22.53,-32.7
01-09-2017,Gujarat,9577.82,4367.72,125,2781.72,1461,78.3,68.15,-10.15,-12.96
